id,pali,selected_pali_word,class_source,extra,class_example,english_translation
12899,āsītika 2,āsītikaṃ,AN3.36,,(addasa) <b>āsītikaṃ</b> vā nāvutikaṃ vā vassasatikaṃ vā jātiyā jiṇṇaṃ gopānasivaṅkaṃ bhoggaṃ daṇḍaparāyaṇaṃ pavedhamānaṃ gacchantaṃ,"[Didn't you ever see among human beings a man or woman] eighty or ninety or one hundred years old (lit: from birth), worn out, crooked as a rafter, bent, walking along trembling, supported by a staff….?"
50377,bhogga 2.1,bhoggaṃ,AN3.36,,(addasa) āsītikaṃ vā nāvutikaṃ vā vassasatikaṃ vā jātiyā jiṇṇaṃ gopānasivaṅkaṃ <b>bhoggaṃ</b> daṇḍaparāyaṇaṃ pavedhamānaṃ gacchantaṃ,"[Didn't you ever see among human beings a man or woman] eighty or ninety or one hundred years old (lit: from birth), worn out, crooked as a rafter, bent, walking along trembling, supported by a staff….?"
31762,daṇḍa 2,,AN3.36,,(addasa) āsītikaṃ vā nāvutikaṃ vā vassasatikaṃ vā jātiyā jiṇṇaṃ gopānasivaṅkaṃ bhoggaṃ <b>daṇḍa</b>parāyaṇaṃ pavedhamānaṃ gacchantaṃ,"[Didn't you ever see among human beings a man or woman] eighty or ninety or one hundred years old (lit: from birth), worn out, crooked as a rafter, bent, walking along trembling, supported by a staff….?"
31784,daṇḍaparāyaṇa,daṇḍaparāyaṇaṃ,AN3.36,,(addasa) āsītikaṃ vā nāvutikaṃ vā vassasatikaṃ vā jātiyā jiṇṇaṃ gopānasivaṅkaṃ bhoggaṃ <b>daṇḍaparāyaṇaṃ</b> pavedhamānaṃ gacchantaṃ,"[Didn't you ever see among human beings a man or woman] eighty or ninety or one hundred years old (lit: from birth), worn out, crooked as a rafter, bent, walking along trembling, supported by a staff….?"
25338,gopānasī,,AN3.36,,(addasa) āsītikaṃ vā nāvutikaṃ vā vassasatikaṃ vā jātiyā jiṇṇaṃ <b>gopānasi</b>vaṅkaṃ bhoggaṃ daṇḍaparāyaṇaṃ pavedhamānaṃ gacchantaṃ,"[Didn't you ever see among human beings a man or woman] eighty or ninety or one hundred years old (lit: from birth), worn out, crooked as a rafter, bent, walking along trembling, supported by a staff….?"
25337,gopānasivaṅka,gopānasivaṅkaṃ,AN3.36,,(addasa) āsītikaṃ vā nāvutikaṃ vā vassasatikaṃ vā jātiyā jiṇṇaṃ <b>gopānasivaṅkaṃ</b> bhoggaṃ daṇḍaparāyaṇaṃ pavedhamānaṃ gacchantaṃ,"[Didn't you ever see among human beings a man or woman] eighty or ninety or one hundred years old (lit: from birth), worn out, crooked as a rafter, bent, walking along trembling, supported by a staff….?"
28448,jiṇṇa 2,jiṇṇaṃ,AN3.36,,(addasa) āsītikaṃ vā nāvutikaṃ vā vassasatikaṃ vā jātiyā <b>jiṇṇaṃ</b> gopānasivaṅkaṃ bhoggaṃ daṇḍaparāyaṇaṃ pavedhamānaṃ gacchantaṃ,"[Didn't you ever see among human beings a man or woman] eighty or ninety or one hundred years old (lit: from birth), worn out, crooked as a rafter, bent, walking along trembling, supported by a staff….?"
36614,nāvutika,nāvutikaṃ,AN3.36,,(addasa) āsītikaṃ vā <b>nāvutikaṃ</b> vā vassasatikaṃ vā jātiyā jiṇṇaṃ gopānasivaṅkaṃ bhoggaṃ daṇḍaparāyaṇaṃ pavedhamānaṃ gacchantaṃ,"[Didn't you ever see among human beings a man or woman] eighty or ninety or one hundred years old (lit: from birth), worn out, crooked as a rafter, bent, walking along trembling, supported by a staff….?"
43134,parāyaṇa 3,,AN3.36,,(addasa) āsītikaṃ vā nāvutikaṃ vā vassasatikaṃ vā jātiyā jiṇṇaṃ gopānasivaṅkaṃ bhoggaṃ daṇḍa<b>parāyaṇaṃ</b> pavedhamānaṃ gacchantaṃ,"[Didn't you ever see among human beings a man or woman] eighty or ninety or one hundred years old (lit: from birth), worn out, crooked as a rafter, bent, walking along trembling, supported by a staff….?"
45026,pavedhamāna 1,pavedhamānaṃ,AN3.36,,(addasa) āsītikaṃ vā nāvutikaṃ vā vassasatikaṃ vā jātiyā jiṇṇaṃ gopānasivaṅkaṃ bhoggaṃ daṇḍaparāyaṇaṃ <b>pavedhamānaṃ</b> gacchantaṃ,"[Didn't you ever see among human beings a man or woman] eighty or ninety or one hundred years old (lit: from birth), worn out, crooked as a rafter, bent, walking along trembling, supported by a staff….?"
65548,vaṅka 1,vaṅkeyyāni,AN3.36,,(addasa) āsītikaṃ vā nāvutikaṃ vā vassasatikaṃ vā jātiyā jiṇṇaṃ gopānasi<b>vaṅkaṃ</b> bhoggaṃ daṇḍaparāyaṇaṃ pavedhamānaṃ gacchantaṃ,"[Didn't you ever see among human beings a man or woman] eighty or ninety or one hundred years old (lit: from birth), worn out, crooked as a rafter, bent, walking along trembling, supported by a staff….?"
66556,vassasatika,vassasatikaṃ,AN3.36,,(addasa) āsītikaṃ vā nāvutikaṃ vā <b>vassasatikaṃ</b> vā jātiyā jiṇṇaṃ gopānasivaṅkaṃ bhoggaṃ daṇḍaparāyaṇaṃ pavedhamānaṃ gacchantaṃ,"[Didn't you ever see among human beings a man or woman] eighty or ninety or one hundred years old (lit: from birth), worn out, crooked as a rafter, bent, walking along trembling, supported by a staff….?"
7556,abhikkantatara,abhikkantataro,AN4.100,,"imesaṃ kho, potaliya, catunnaṃ puggalānaṃ katamo te puggalo khamati <b>abhikkantataro</b> ca paṇītataro cāti?","Which of these four people seems good to you, Potaliya, more excellent and more refined?"
23487,khamati 2,khamati,AN4.100,,"imesaṃ kho, potaliya, catunnaṃ puggalānaṃ katamo te puggalo <b>khamati</b> abhikkantataro ca paṇītataro cāti?","Which of these four people seems good to you, Potaliya, more excellent and more refined?"
41571,paṇītatara,paṇītataro,AN4.100,,"imesaṃ kho, potaliya, catunnaṃ puggalānaṃ katamo te puggalo khamati abhikkantataro ca <b>paṇītataro</b> cāti?","Which of these four people seems good to you, Potaliya, more excellent and more refined?"
47440,potaliya,potaliya,AN4.100,,"imesaṃ kho, <b>potaliya</b>, catunnaṃ puggalānaṃ katamo te puggalo khamati abhikkantataro ca paṇītataro cāti?","Which of these four people seems good to you, Potaliya, more excellent and more refined?"
12281,āyu 3,āyuṃ,AN5.37,,"sukhassa dātā medhāvī, sukhaṃ so adhigacchati. <b>āyuṃ</b> datvā balaṃ vaṇṇaṃ, sukhañ'ca paṭibhānakaṃ, dīgh'āyu yasavā hoti, yattha yatth'ūpapajjatī'ti.","“The intelligent man, [who is a] bestower of happiness, obtains happiness; having given long-life, strength, beauty, happiness and understanding, he has long life and is renowned wherever he is reborn.”"
31825,datvā 1,datvā,AN5.37,,"sukhassa dātā medhāvī, sukhaṃ so adhigacchati. āyuṃ <b>datvā</b> balaṃ vaṇṇaṃ, sukhañ'ca paṭibhānakaṃ, dīgh'āyu yasavā hoti, yattha yatth'ūpapajjatī'ti.","“The intelligent man, [who is a] bestower of happiness, obtains happiness; having given long-life, strength, beauty, happiness and understanding, he has long life and is renowned wherever he is reborn.”"
32778,dīghāyu,dīgh'āyu,AN5.37,,"sukhassa dātā medhāvī, sukhaṃ so adhigacchati. āyuṃ datvā balaṃ vaṇṇaṃ, sukhañ'ca paṭibhānakaṃ, <b>dīgh'āyu</b> yasavā hoti, yattha yatth'ūpapajjatī'ti.","“The intelligent man, [who is a] bestower of happiness, obtains happiness; having given long-life, strength, beauty, happiness and understanding, he has long life and is renowned wherever he is reborn.”"
