id,pali,selected_pali_word,sutta_number,sutta_name,class_example
526,agāra 1,,sn43.1,asaṅkhatasuttaṃ,"etāni, bhikkhave, rukkhamūlāni, etāni suññ'<b>āgārāni</b>."
527,agāra 2,,mn107,gaṇakamoggallānasuttaṃ,"“ye pana te kulaputtā saddhā <b>agārasmā</b> anagāriyaṃ pabbajitā asaṭhā amāyāvino aketabino anuddhatā anunnaḷā acapalā amukharā avikiṇṇavācā indriyesu guttadvārā bhojane mattaññuno jāgariyaṃ anuyuttā sāmaññe apekkhavanto sikkhāya tibbagāravā nabāhulikā nasāthalikā okkamane nikkhittadhurā paviveke pubbaṅgamā āraddhavīriyā pahitattā upaṭṭhitassatino sampajānā samāhitā ekaggacittā paññavanto aneḷamūgā, tehi bhavaṃ gotamo saddhiṃ saṃvasati."
10988,ākaṅkhati,ākaṅkhasi,sn12.66,sammasasuttaṃ,sace <b>ākaṅkhasi</b> piva.
8575,amu,amuṃ,sn35.241,paṭhamadārukkhandhopamasuttaṃ,"disvāna bhikkhū āmantesi: passatha no tumhe, bhikkhave, <b>amuṃ</b> mahantaṃ dārukkhandhaṃ gaṅgāya nadiyā sotena vuyhamānan'ti?"
1573,aññamañña,aññam'aññaṃ,sn47.19,sedakasuttaṃ,"evaṃ mayaṃ <b>aññam'aññaṃ</b> guttā aññam'aññaṃ rakkhitā sippāni c'eva dassessāma, lābhañ'ca lacchāma, sotthinā ca caṇḍālavaṃsā orohissāmā'ti."
1507,aññatara 1,aññataro,sn35.53,avijjāpahānasuttaṃ,atha kho <b>aññataro</b> bhikkhu yena bhagavā ten'upasaṅkami.
1546,aññathā 1,aññathā,sn35.93,dutiyadvayasuttaṃ,cakkhu aniccaṃ vipariṇāmi <b>aññathā</b>bhāvi.
4411,anuggaha 2.1,anuggahāya,sn12.12,moḷiyaphaggunasuttaṃ,"cattāro'me, bhikkhave, āhārā bhūtānaṃ vā sattānaṃ ṭhitiyā sambhav'esīnaṃ vā <b>anuggahāya</b>. katame cattāro?"
4334,anukampā,,sn43.1,asaṅkhatasuttaṃ,"yaṃ, bhikkhave, satthārā karaṇīyaṃ sāvakānaṃ hit'esinā anukampakena <b>anukampaṃ</b> upādāya, kataṃ vo taṃ mayā."
4333,anukampaṃ upādāya,anukampaṃ upādāya,sn43.1,asaṅkhatasuttaṃ,"yaṃ, bhikkhave, satthārā karaṇīyaṃ sāvakānaṃ hit'esinā anukampakena <b>anukampaṃ upādāya</b>, kataṃ vo taṃ mayā."
