id,pali,selected_pali_word,class_source,extra,class_example,english_translation,class
7655,abhijjhā,abhijjhaṃ,MN107 (simpl),,<b>abhijjhaṃ</b> loke pajaheyyuṃ vigat'ābhijjhena cetasā vihareyyuṃ; <b>abhijjhāya</b> cittaṃ parisodheyyuṃ,"They would abandon covetousness with reference to the world, they would dwell with a mind free from covetousness, they would purify the mind from covetousness.",
7740,abhitthavati,abhitthaveyyāmi,SN8.11 (simpl),,yaṃnūn'āhaṃ bhagavantaṃ sammukhā sāruppāya gāthāya <b>abhitthaveyyāmi</b>,Maybe I should praise the Blessed One face-to-face with an appropriate verse.,
7418,abyāpajjhaparamatā,abyāpajjhaparamatāya,MN2.4,,yāva'd'eva uppannānaṃ veyyābādhikānaṃ vedanānaṃ paṭighātāya <b>abyāpajjhaparamatāya</b>,"Only as much as for the freedom from oppressive pain at the most, for the warding off of oppressive feelings that have arisen.",
75649,adhigaccheyya 2,adhigaccheyya,MN39,,"so tatonidānaṃ labheyya pāmojjaṃ, <b>adhigaccheyya</b> somanassaṃ","Because of that he would obtain gladness, he would experience pleasure.",
11152,āgaccheyya,āgaccheyyuṃ,AN7.23,yes,"bhikkhave, bhikkhū paccattaṃ satiṃ upaṭṭhāpessanti: kin'ti anāgatā ca pesalā sabrahmacārī <b>āgaccheyyuṃ</b>, āgatā ca pesalā sabrahmacārī phāsuṃ vihareyyuṃ? iti","Bhikkhus, the monks will establish mindfulness individually [with the intention]: “How then well-behaved fellow monks [who] have not come could come and (how) well-behaved monks [who] have come could dwell at ease?”",
11156,āgata 3,āgatā,AN7.23,yes,"bhikkhave, bhikkhū paccattaṃ satiṃ upaṭṭhāpessanti: kin'ti anāgatā ca pesalā sabrahmacārī āgaccheyyuṃ, <b>āgatā</b> ca pesalā sabrahmacārī phāsuṃ vihareyyuṃ? iti","Bhikkhus, the monks will establish mindfulness individually [with the intention]: “How then well-behaved fellow monks [who] have not come could come and (how) well-behaved monks [who] have come could dwell at ease?”",
10948,aho vata,aho vata,MN10.16,,<b>aho vata</b> mayaṃ na maraṇadhammā assāma,If only we could be not of the nature to die!,
1313,ajjhabhāsi,ajjhabhāsi,SNP16,,devatā bhagavantaṃ gāthāya <b>ajjhabhāsi</b>,The deity addressed the Blessed One with a verse.,
3891,anāgata 2,,SN22.3,,"idha, gahapati, ekaccassa evaṃ hoti, evaṃrūpo siyaṃ <b>anāgatam</b>'addhānaṃ, evaṃvedano siyaṃ anāgatam'addhānaṃ","In this regard, householder, some think [lit: there is thus for some], may I be of such form in the future, may I be having such feeling in the future.",
3899,anāgatamaddhānaṃ,anāgatam'addhānaṃ,SN22.3,,"idha, gahapati, ekaccassa evaṃ hoti, evaṃrūpo siyaṃ <b>anāgatam'addhānaṃ</b>, evaṃvedano siyaṃ anāgatam'addhānaṃ","In this regard, householder, some think [lit: there is thus for some], may I be of such form in the future, may I be having such feeling in the future.",
