id,pali,selected_pali_word,class_source,extra,class_example,english_translation
328,akkosa,akkosaṃ,MN82,,"āyasmā raṭṭhapālo n'eva dānaṃ alattha na paccakkhānaṃ, añña'd'atthu <b>akkosaṃ</b> eva alattha!","Venerable Raṭṭhapāla obtained neither alms nor a refusal; on the contrary, he obtained only verbal abuse."
962,accayena 2,accayena,DN16.36 (simpl),,vo mayā dhammo ca vinayo ca desito vo mama <b>accayena</b> satthā bhavissati,"After my passing away, the Doctrine and Discipline taught by me to you, will become a teacher for you."
1218,ajesi,ajesi,VIN5.1.1,,mā kho tumhe eso <b>ajesi</b>.,Do not indeed let this [person] defeat you.
1561,aññadatthu 2,añña'd'atthu,MN82,,"āyasmā raṭṭhapālo n'eva dānaṃ alattha na paccakkhānaṃ, <b>añña'd'atthu</b> akkosaṃ eva alattha!","Venerable Raṭṭhapāla obtained neither alms nor a refusal; on the contrary, he obtained only verbal abuse."
1853,aṭṭhi 1.1,aṭṭhi,MN82,,A bone covered with skin; it looks beautiful with clothes.,A bone covered with skin; it looks beautiful with clothes.
2607,attha 4.2,attha,MN19 (simpl),,"jhāyatha, bhikkhave, mā pamādaṃ <b>attha</b>, mā pacchā vippaṭisārino ahuvattha. ayaṃ vo amhākaṃ anusāsanī","Meditate, monks! You must not be negligent, do not have remorse afterwards! This [is] our advice for you."
2910,adukkhamasukha 1,adukkham'asukhaṃ,MN74,,"n'eva tasmiṃ samaye dukkhaṃ vedanaṃ vedeti, na <b>adukkham'asukhaṃ</b> vedanaṃ vedeti","At that time, he feels neither an unpleasant sensation nor a neutral sensation."
3054,adhamma 2,adhammo,TH195,,"<b>adhammo</b> nirayaṃ neti, dhammo pāpeti suggatiṃ","False teaching leads to no good fortune, the Teaching leads to a good destination."
3946,anāthapiṇḍika,anāthapiṇḍiko,AN10.93,,"<b>anāthapiṇḍiko</b> gahapati yāvatako ahosi paribbājakehi saddhiṃ kathāsallāpo, taṃ sabbaṃ bhagavato ārocesi.","Whatever conversation the householder Anāthapindika had with the wandering ascetics, all that he told to the Blessed One."
4161,aniccānupassī,aniccaṃ anupassī,MN118 (simpl),,<b>anicc'ānupassī</b> passasissāmi iti sikkhati,"One trains thus: “I will breathe out, observing impermanence.”"
4774,anupassī 1,anupassī,MN118 (simpl),,aniccaṃ <b>anupassī</b> passasissāmi iti sikkhati,"One trains thus: “I will breathe out, observing impermanence.”"
5268,anusāsanī,anusāsanī,MN19 (simpl),yes,"jhāyatha, bhikkhave, mā pamādaṃ attha, mā pacchā vippaṭisārino ahuvattha. ayaṃ vo amhākaṃ <b>anusāsanī</b>","Meditate, monks! You must not be negligent, do not have remorse afterwards! This [is] our advice for you."
6389,aparimita,aparimitaṃ,UDa5.3,,ahaṃ te <b>aparimitaṃ</b> dhanaṃ dassāmi,I will give unlimited wealth to you.
8087,abhiramati,abhiramanti,UD45,,asurā mahāsamudde <b>abhiramanti</b>.,Malevolent beings find high pleasure in the great ocean.
8212,abhisamaya,abhisamayaṃ,SN56.35 (simpl),,"ahaṃ saha eva sukhena, saha eva somanassena catunnaṃ ariyasaccānaṃ <b>abhisamayaṃ</b> vadāmi.",I say clear comprehension of the four Noble Truths [is] accompanied only by happiness and only by mental ease.
8701,amhākaṃ 3,amhākaṃ,MN19 (simpl),,ayaṃ vo <b>amhākaṃ</b> anusāsanī,This [is] our advice for you.
8705,amhesu,amhesu,SN12.22 (simpl),,kārā <b>amhesu</b> mahapphalā bhavissanti,Services (done) to us could be of great fruits.
8757,ayaṃ,ayaṃ,MN19 (simpl),yes,"jhāyatha, bhikkhave, mā pamādaṃ attha, mā pacchā vippaṭisārino ahuvattha. <b>ayaṃ</b> vo amhākaṃ anusāsanī","Meditate, monks! You must not be negligent, do not have remorse afterwards! This [is] our advice for you."
9019,ariyasacca,ariyasaccānaṃ,SN56.35 (simpl),,"ahaṃ saha eva sukhena, saha eva somanassena catunnaṃ <b>ariyasaccānaṃ</b> abhisamayaṃ vadāmi.",I say clear comprehension of the four Noble Truths [is] accompanied only by happiness and only by mental ease.
