id,pali,selected_pali_word,class_source,extra,class_example,english_translation
750,aṅkusa 1,aṅkusaggaho,DHP326,,"idaṃ pure cittam'acāri cārikaṃ, yen'icchakaṃ yatthakāmaṃ yathāsukhaṃ, tadajj'ahaṃ niggahessāmi yoniso, hatthippabhinnaṃ viya aṅkusaggaho.","Formerly this mind wandered around on a walking tour wherever it liked, according to its pleasure, because of wanting, but now I will restrain [it] thoroughly like an elephant driver holding a hooked pole to an elephant in rut (i.e. with juices flowing)."
755,aṅkusaggaho,aṅkusaggaho,DHP326,,"idaṃ pure cittam'acāri cārikaṃ, yen'icchakaṃ yatthakāmaṃ yathāsukhaṃ, tadajj'ahaṃ niggahessāmi yoniso, hatthippabhinnaṃ viya aṅkusaggaho.","Formerly this mind wandered around on a walking tour wherever it liked, according to its pleasure, because of wanting, but now I will restrain [it] thoroughly like an elephant driver holding a hooked pole to an elephant in rut (i.e. with juices flowing)."
874,acāri 1.1,acāri,DHP326,,"idaṃ pure cittam'<b>acāri</b> cārikaṃ, yen'icchakaṃ yatthakāmaṃ yathāsukhaṃ, tadajj'ahaṃ niggahessāmi yoniso, hatthippabhinnaṃ viya aṅkusaggaho.","Formerly this mind wandered around on a walking tour wherever it liked, according to its pleasure, because of wanting, but now I will restrain [it] thoroughly like an elephant driver holding a hooked pole to an elephant in rut (i.e. with juices flowing)."
955,accayati 2,accayanti,TH133,,"<b>accayanti</b> ahorattā, jīvitaṃ uparujjhati, āyu khīyati maccānaṃ, kunnadīnaṃ'va odakaṃ.","Days and nights fly past, life is finished. The life of mortal men is exhausted like the water of small streams."
1389,ajjhupekkhitar,ajjhupekkhitā,SN46.3,,samādhisambojjh'aṅgo tasmiṃ samaye bhikkhuno bhāvanāpāripūriṃ gacchati. so tathāsamāhitaṃ cittaṃ sādhukaṃ <b>ajjhupekkhitā</b> hoti.,"On that occasion, concentration as a factor of enlightenment comes to full development for a monk by meditation;[he is] one who looks well with equanimity on the thus composed mind."
1465,añjana 1,añjanamakkhitā,TH251,,"aṭṭhapadakatā kesā, nettā <b>añjanamakkhitā</b>. alaṃ bālassa mohāya, no ca pāragavesino.","Head hair plaited eightfold, eyes smeared with eye ointment. It is enough for the delusion of a fool, but not for those seeking the far shore."
1468,añjanamakkhita,añjanamakkhitā,TH251,,"aṭṭhapadakatā kesā, nettā <b>añjanamakkhitā</b>.","Head hair plaited eightfold, eyes smeared with eye ointment."
1560,aññadatthu 1,añña'd'atthudaso,MN49,,"eso hi, bhikkhu, brahmā mahābrahmā abhibhū anabhibhūto <b>añña'd'atthudaso</b> vasavattī issaro kattā nimmātā seṭṭho sajitā vasī pitā bhūtabhabyānaṃ.","Indeed, monk, this is Brahmā, great god almighty, supreme being, unvanquished, all seeing, wielding power, god, creator, designer, foremost assigner, master [and] father for those who are and who will be."
1563,aññadatthudasa,añña'd'atthudaso,MN49,,"eso hi, bhikkhu, brahmā mahābrahmā abhibhū anabhibhūto <b>añña'd'atthudaso</b> vasavattī issaro kattā nimmātā seṭṭho sajitā vasī pitā bhūtabhabyānaṃ.","Indeed, monk, this is Brahmā, great god almighty, supreme being, unvanquished, all seeing, wielding power, god, creator, designer, foremost assigner, master [and] father for those who are and who will be."
1774,aṭṭhapada 2,aṭṭhapadakatā,TH251,,"aṭṭhapadakatā kesā, nettā añjanamakkhitā. alaṃ bālassa mohāya, no ca pāragavesino.","Head hair plaited eightfold, eyes smeared with eye ointment. It is enough for the delusion of a fool, but not for those seeking the far shore."
1776,aṭṭhapadakata,aṭṭhapadakatā,TH251,,"<b>aṭṭhapadakatā</b> kesā, nettā añjanamakkhitā. alaṃ bālassa mohāya, no ca pāragavesino.","Head hair plaited eightfold, eyes smeared with eye ointment. It is enough for the delusion of a fool, but not for those seeking the far shore."
2012,atandita,atanditaṃ,MN131,,"evaṃ vihārim'ātāpiṃ, ahorattam'<b>atanditaṃ</b>.","“Living thus ardently, tirelessly throughout the day and night, energetic – it is, indeed, he, who the peaceful sage describes having a single auspicious night.”"
3034,addhika,addhika,SN2.23,,"tassa mayhaṃ, bhante, catūsu dvāresu dānaṃ dīyittha samaṇa-brāhmaṇa-kapaṇ'<b>addhika</b>-vanibbaka-yācakānaṃ.","Thus, my gifts were offered at the four gates to ascetics, brahmins, tramps and travellers, mendicants and beggars."
3765,anabhibhūta,anabhibhūto,MN49,,"eso hi, bhikkhu, brahmā mahābrahmā abhibhū <b>anabhibhūto</b> añña'd'atthudaso vasavattī issaro kattā nimmātā seṭṭho sajitā vasī pitā bhūtabhabyānaṃ.","Indeed, monk, this is Brahmā, great god almighty, supreme being, unvanquished, all seeing, wielding power, god, creator, designer, foremost assigner, master [and] father for those who are and who will be."
5027,anumajjati,anumajjeyyāsi,AN7.61,,"no ce te evaṃ viharato taṃ middhaṃ pahīyetha tato tvaṃ, moggallāna, ubho kaṇṇasotāni āviñjeyyāsi pāṇinā gattāni <b>anumajjeyyāsi</b>","If that drowsiness could not be abandoned when you're dwelling in such a way, then you, Moggallāna, should pull both ear holes [and] you should rub [your] limbs with your hands."
7339,abbhutadhamma 1,abbhutadhammaṃ,MN22,,"idha, bhikkhave, ekacce moghapurisā dhammaṃ pariyāpuṇanti, suttaṃ, geyyaṃ, veyyākaraṇaṃ, gāthaṃ, udānaṃ, itivuttakaṃ, jātakaṃ, <b>abbhutadhammaṃ</b>, vedallaṃ.","Here, monks, some foolish persons study well the teaching – discourses, mixed verses, detailed expositions, poems, inspired sayings, quotations, birth stories, marvellous accounts, questions-and-answers…"
8015,abhibhū 2,abhibhū,MN49,,"eso hi, bhikkhu, brahmā mahābrahmā <b>abhibhū</b> anabhibhūto añña'd'atthudaso vasavattī issaro kattā nimmātā seṭṭho sajitā vasī pitā bhūtabhabyānaṃ.","Indeed, monk, this is Brahmā, great god almighty, supreme being, unvanquished, all seeing, wielding power, god, creator, designer, foremost assigner, master [and] father for those who are and who will be."
10953,ahoratta,ahorattā,TH133,,"accayanti <b>ahorattā</b>, jīvitaṃ uparujjhati, āyu khīyati maccānaṃ, kunnadīnaṃ'va odakaṃ.","Days and nights fly past, life is finished. The life of mortal men is exhausted like the water of small streams."
10955,ahorattamatandita,ahorattam'atanditaṃ,MN131,,"evaṃ vihārim'ātāpiṃ, <b>ahorattam'atanditaṃ</b>. taṃ ve bhadd'ekaratto'ti, santo ācikkhate muni.","“Living thus ardently, tirelessly throughout the day and night, energetic – it is, indeed, he, who the peaceful sage describes having a single auspicious night.”"
10956,ahorattaṃ,ahorattam,MN131,,"evaṃ vihārim'ātāpiṃ, <b>ahorattam</b>'atanditaṃ.","“Living thus ardently, tirelessly throughout the day and night, energetic – it is, indeed, he, who the peaceful sage describes having a single auspicious night.”"
11179,āgantuka 1,āgantukassa,AN5.36,,"āgantukassa dānaṃ deti, gamikassa dānaṃ deti, gilānassa dānaṃ deti, dubbhikkhe dānaṃ deti.","One gives to a newcomer, one gives to a traveller, one gives to one who is ill, one gives when famine."
11333,ācikkhati 2,ācikkhate,MN131,,"evaṃ vihārim'ātāpiṃ, ahorattam'atanditaṃ. taṃ ve bhadd'ekaratto'ti, santo <b>ācikkhate</b> muni.","“Living thus ardently, tirelessly throughout the day and night, energetic – it is, indeed, he, who the peaceful sage describes having a single auspicious night.”"
13091,āviñjati 1,āviñjeyyāsi,AN7.61,,"no ce te evaṃ viharato taṃ middhaṃ pahīyetha tato tvaṃ, moggallāna, ubho kaṇṇasotāni <b>āviñjeyyāsi</b> pāṇinā gattāni anumajjeyyāsi","If that drowsiness could not be abandoned when you're dwelling in such a way, then you, Moggallāna, should pull both ear holes [and] you should rub [your] limbs with your hands."
13352,icchaka,icchakaṃ,DHP326,,"idaṃ pure cittam'acāri cārikaṃ, yen'<b>icchakaṃ</b> yatthakāmaṃ yathāsukhaṃ, tadajj'ahaṃ niggahessāmi yoniso, hatthippabhinnaṃ viya aṅkusaggaho.","Formerly this mind wandered around on a walking tour wherever it liked, according to its pleasure, because of wanting, but now I will restrain [it] thoroughly like an elephant driver holding a hooked pole to an elephant in rut (i.e. with juices flowing)."
13494,itivuttaka,itivuttakaṃ,MN22,,"idha, bhikkhave, ekacce moghapurisā dhammaṃ pariyāpuṇanti, suttaṃ, geyyaṃ, veyyākaraṇaṃ, gāthaṃ, udānaṃ, <b>itivuttakaṃ</b>, jātakaṃ, abbhutadhammaṃ, vedallaṃ.","Here, monks, some foolish persons study well the teaching – discourses, mixed verses, detailed expositions, poems, inspired sayings, quotations, birth stories, marvellous accounts, questions-and-answers…"
13886,issara 2,issaro,MN49,,"eso hi, bhikkhu, brahmā mahābrahmā abhibhū anabhibhūto añña'd'atthudaso vasavattī <b>issaro</b> kattā nimmātā seṭṭho sajitā vasī pitā bhūtabhabyānaṃ.","Indeed, monk, this is Brahmā, great god almighty, supreme being, unvanquished, all seeing, wielding power, god, creator, designer, foremost assigner, master [and] father for those who are and who will be."
