source	translation	literal_translation
DHP1	Mind is the forerunner of mental states, mind is their chief, they are mind-made. If one speaks or acts with a corrupted mind, then suffering follows them, even as the wheel follows the hoof of the drawing ox.	Mental states have mind as forerunner, have mind as chief, are mind-made. If with corrupted mind one speaks or does [anything], from that [cause] suffering follows him, like a wheel [follows] the foot of the drawing [ox].
DHP2	Mental states are preceded by mind, have mind as their leader, and are mind-made. If one speaks or acts with a pure mind, happiness follows them like a shadow that never leaves.	Mental phenomena have mind as forerunner, have mind as chief, are made of mind. If, with a clear mind, one speaks or acts, because of that, happiness follows him, like a shadow not going away.
DHP3	“He abused me, he struck me, he defeated me, he robbed me.” In those who harbor such thoughts, hatred is not appeased.	He abused me, he struck me, he defeated me, he took from me; for those who bind that (grudge), hatred for them is not calmed.
DHP4	“He abused me, he struck me, he defeated me, he robbed me.” In those who do not harbor such resentment, hatred is stilled.	He abused me, he struck me, he defeated me, he brought [away] my [property]; and for those who do not bind that [on themselves], hatred is calmed for them.
DHP5	For never in this world is hatred stilled by hatred; it is stilled by non-hatred. This is an eternal law.	For never here by hatred are hatreds stilled; but by non-hatred they are stilled; this is the eternal law.
DHP6	Others do not understand that we must perish here. But for those who understand this, their quarrels are thereby stilled.	But others do not understand; we here must perish. And those who understand in that regard, from that [understanding] quarrels subside.
DHP7	One who dwells observing beauty, unrestrained in the senses, immoderate in eating, lazy and low in energy—Māra truly overpowers him, as the wind overthrows a weak tree.	One who dwells observing beauty, unrestrained in the senses, and immoderate in eating, lazy, having low energy, that one indeed Māra overpowers, as the wind a weak tree.
DHP8	Māra does not overcome one who lives observing the unattractive, who is well restrained in their senses, moderate in eating, faithful and energetic—just as the wind does not overcome a rocky mountain.	One living observing the unattractive, well-restrained in the senses, and knowing moderation in eating, faithful and having energy aroused—truly Māra does not overcome him, as the wind a rocky mountain.
DHP9	One who is not free from impurity, who would wear the saffron-colored robe while devoid of self-restraint and truth, is not worthy of the saffron-colored robe.	Not without impurity, saffron-colored, who cloth will put on, devoid of self-restraint and truth, not he saffron-colored (robe) is worthy of.
DHP10	But whoever has cast out impurity, is well-established in the virtues, and is endowed with self-restraint and truth, he indeed is worthy of the monk's robe.	And whoever [is] of [one who has] cast off impurity, well controlled in virtues, endowed with self-restraint and truth, he indeed is worthy of the monk's robe.
