suttacode	pts	english_title	pali_title	nikayacode	collection_name	chaptercode	chapter_name	vagga	samyutta	section	main_theme	subtopic	summary	key_excerpt1	key_excerpt2	similes	stage	training	aspect	teacher	audience	method	length	prominence	formulas	nikayas_parallels	āgamas_parallels	taisho_parallels	sanskrit_parallels	vinaya_parallels	others_parallels	partial_parallels_nā	partial_parallels_all	suggested_suttas	suttacentral	dhamma.gift	thebuddhaswords	dhammapearls	bw_legacy								
AN1.1	A i 1	Sights	Rupa	AN	Aṅguttara Nikāya	AN1	Sights, Etc.	Cittapariyādānvagga		AN1.1-10	Tendencies	Sexuality	Most attractive things	Opposite sex	6 sensual objects from opposite sex		Intro	Paññā	Doctrinal	Buddha	Bhikkhus	Lecture	Brief				EA9.7	T792				EA9.7	EA9.7; T792		https://suttacentral.net/an1.1/en/sujato	https://dhamma.gift/read/?q=an1.1	https://thebuddhaswords.net/an/an1.1.html		https://find.dhamma.gift/bw/an/an1.1.html#content	https://suttacentral.net/an1.1/en/sujato							
AN1.1	A i 1	Sights	Rupa	AN	Aṅguttara Nikāya	AN1	Sights, Etc.	Cittapariyādānvagga		AN1.1-10	Tendencies	Sexuality	Most attractive things	Opposite sex	6 sensual objects from opposite sex		Intro	Paññā	Doctrinal	Buddha	Bhikkhus	Lecture	Brief				EA9.7	T792				EA9.7	EA9.7; T792		https://suttacentral.net/an1.1/en/sujato	https://dhamma.gift/read/?q=an1.1	https://thebuddhaswords.net/an/an1.1.html		https://find.dhamma.gift/bw/an/an1.1.html#content								
AN1.10	A i 2	Sights	Rupa	AN	Aṅguttara Nikāya	AN1	Sights, Etc.	Cittapariyādānvagga		AN1.1-10	Tendencies	Sexuality	Most attractive things	Opposite sex	6 sensual objects from opposite sex		Intro	Paññā	Doctrinal	Buddha	Bhikkhus	Lecture	Brief				EA9.8					EA9.8	EA9.8		https://suttacentral.net/an1.10/en/sujato	https://dhamma.gift/read/?q=an1.10	https://thebuddhaswords.net/an/an1.10.html		https://find.dhamma.gift/bw/an/an1.10.html#content								
AN1.100-113		Negligence 2nd	Dutiyapamādādi	AN	Aṅguttara Nikāya	AN1	Negligence (2nd)	Dutiyapamādādivagga		AN1.91-100	Skillful and unskillful	Skillful and unskillful	Qualities that should be developed and ones that should be avoided	Thing that leads to the continuation, persistence of the true teaching like: diligence, arousing energy, having few wishes, contentment, proper attention, vigilance, good friends, pursuing good habits	Thing that leads to the decline and disappearance of the true teaching like: laziness, laziness, having many wishes, lack of contentment, improper attention, lack of vigilance, bad friends, pursuing bad habits		Beginning	Samādhi	Practical	Buddha	Bhikkhus	Lecture	Brief												https://suttacentral.net/an1.100-113/en/sujato	https://dhamma.gift/read/?q=an1.100-113	https://thebuddhaswords.net/an/an1.100-113.html		https://find.dhamma.gift/bw/an/an1.100-113.html#content								
AN1.11	A i 3	Giving Up The Hindrances	Nīvaraṇappahāna	AN	Aṅguttara Nikāya	AN1	Giving Up the Hindrances	Nīvaraṇappahānvagga		AN1.11-20	Effort right	Hindrances	I do not see a single thing that prevents specific hindrance from arising, or, when it has arisen, abandons it	Ugliness vs ensual desire, love vs ill will, being energetic vs dullness and drowsiness, peace of mind vs restlessness and remorse, proper attention vs doubts	When you don't attend to antidotes, hindrances  arise, and once arisen they increase and grow		Intro	Samādhi	Practical	Buddha	Bhikkhus	Lecture	Brief				EA9.9					EA9.9	EA9.9; SF203:TRI16.101-#TRI16.105		https://suttacentral.net/an1.11/en/sujato	https://dhamma.gift/read/?q=an1.11	https://thebuddhaswords.net/an/an1.11.html		https://find.dhamma.gift/bw/an/an1.11.html#content								
AN1.11	A i 3	Giving Up The Hindrances	Nīvaraṇappahāna	AN	Aṅguttara Nikāya	AN1	Giving Up the Hindrances	Nīvaraṇappahānvagga		AN1.11-20	Effort right	Hindrances	I do not see a single thing that prevents specific hindrance from arising, or, when it has arisen, abandons it	Ugliness vs ensual desire, love vs ill will, being energetic vs dullness and drowsiness, peace of mind vs restlessness and remorse, proper attention vs doubts	When you don't attend to antidotes, hindrances  arise, and once arisen they increase and grow		Intro	Samādhi	Practical	Buddha	Bhikkhus	Lecture	Brief				EA9.9					EA9.9	EA9.9; SF203:TRI16.101-#TRI16.105		https://suttacentral.net/an1.11/en/sujato	https://dhamma.gift/read/?q=an1.11	https://thebuddhaswords.net/an/an1.11.html		https://find.dhamma.gift/bw/an/an1.11.html#content								
AN1.114		Negligence 2nd	Dutiyapamādādi	AN	Aṅguttara Nikāya	AN1	Negligence (2nd)	Dutiyapamādādivagga		AN1.111-120	Skillful and unskillful	Skillful and unskillful	Qualities that should be developed and ones that should be avoided	Thing that leads to the continuation, persistence of the true teaching like: diligence, arousing energy, having few wishes, contentment, proper attention, vigilance, good friends, pursuing good habits	Thing that leads to the decline and disappearance of the true teaching like: laziness, laziness, having many wishes, lack of contentment, improper attention, lack of vigilance, bad friends, pursuing bad habits		Beginning	Samādhi	Practical	Buddha	Bhikkhus	Lecture	Brief												https://suttacentral.net/an1.114/en/sujato	https://dhamma.gift/read/?q=an1.114	https://thebuddhaswords.net/an/an1.114.html		https://find.dhamma.gift/bw/an/an1.114.html#content								
AN1.115		Negligence 2nd	Dutiyapamādādi	AN	Aṅguttara Nikāya	AN1	Negligence (2nd)	Dutiyapamādādivagga		AN1.111-120	Skillful and unskillful	Skillful and unskillful	Qualities that should be developed and ones that should be avoided	Thing that leads to the continuation, persistence of the true teaching like: diligence, arousing energy, having few wishes, contentment, proper attention, vigilance, good friends, pursuing good habits	Thing that leads to the decline and disappearance of the true teaching like: laziness, laziness, having many wishes, lack of contentment, improper attention, lack of vigilance, bad friends, pursuing bad habits		Beginning	Samādhi	Practical	Buddha	Bhikkhus	Lecture	Brief												https://suttacentral.net/an1.115/en/sujato	https://dhamma.gift/read/?q=an1.115	https://thebuddhaswords.net/an/an1.115.html		https://find.dhamma.gift/bw/an/an1.115.html#content								
AN1.116-129		Negligence 2nd	Dutiyapamādādi	AN	Aṅguttara Nikāya	AN1	Negligence (2nd)	Dutiyapamādādivagga		AN1.111-120	Skillful and unskillful	Skillful and unskillful	Qualities that should be developed and ones that should be avoided	Thing that leads to the continuation, persistence of the true teaching like: diligence, arousing energy, having few wishes, contentment, proper attention, vigilance, good friends, pursuing good habits	Thing that leads to the decline and disappearance of the true teaching like: laziness, laziness, having many wishes, lack of contentment, improper attention, lack of vigilance, bad friends, pursuing bad habits		Beginning	Samādhi	Practical	Buddha	Bhikkhus	Lecture	Brief												https://suttacentral.net/an1.116-129/en/sujato	https://dhamma.gift/read/?q=an1.116-129	https://thebuddhaswords.net/an/an1.116-129.html		https://find.dhamma.gift/bw/an/an1.116-129.html#content								
AN1.12	A i 3	Giving Up The Hindrances	Nīvaraṇappahāna	AN	Aṅguttara Nikāya	AN1	Giving Up the Hindrances	Nīvaraṇappahānvagga		AN1.11-20	Effort right	Hindrances	I do not see a single thing that prevents specific hindrance from arising, or, when it has arisen, abandons it	Ugliness vs ensual desire, love vs ill will, being energetic vs dullness and drowsiness, peace of mind vs restlessness and remorse, proper attention vs doubts	When you don't attend to antidotes, hindrances  arise, and once arisen they increase and grow		Intro	Samādhi	Practical	Buddha	Bhikkhus	Lecture	Brief				EA9.9					EA9.9	EA9.9; SF203:TRI16.101-#TRI16.105		https://suttacentral.net/an1.12/en/sujato	https://dhamma.gift/read/?q=an1.12	https://thebuddhaswords.net/an/an1.12.html		https://find.dhamma.gift/bw/an/an1.12.html#content								
