id,pali,selected_pali_word,class_source,extra,class_example,english_translation
39628,pacchābhūmaka,pacchābhūmakā,AN10.176,,"brāhmaṇā, bhante, <b>pacchābhūmakā</b> kamaṇḍalukā sevālamālikā aggiparicārikā udakorohakā soceyyāni paññapenti, tesāhaṃ soceyyāni rocemī'ti","Venerable sir, the Brahmans from the Western lands who carry water pitchers, who wear moss garlands, who tend the sacred fire, who bathe ritually, they declare purification rites. I approve of their purification rites."
50202,bhūmaka 1,bhūmakā,AN10.176,,"brāhmaṇā, bhante, pacchā<b>bhūmakā</b> kamaṇḍalukā sevālamālikā aggiparicārikā udakorohakā soceyyāni paññapenti, tesāhaṃ soceyyāni rocemī'ti","Venerable sir, the Brahmans from the Western lands who carry water pitchers, who wear moss garlands, who tend the sacred fire, who bathe ritually, they declare purification rites. I approve of their purification rites."
20182,kamaṇḍaluka,kamaṇḍalukā,AN10.176,,"brāhmaṇā, bhante, pacchābhūmakā <b>kamaṇḍalukā</b> sevālamālikā aggiparicārikā udakorohakā soceyyāni paññapenti, tesāhaṃ soceyyāni rocemī'ti","Venerable sir, the Brahmans from the Western lands who carry water pitchers, who wear moss garlands, who tend the sacred fire, who bathe ritually, they declare purification rites. I approve of their purification rites."
65053,sevāla,,AN10.176,,"brāhmaṇā, bhante, pacchābhūmakā kamaṇḍalukā <b>sevāla</b>mālikā aggiparicārikā udakorohakā soceyyāni paññapenti, tesāhaṃ soceyyāni rocemī'ti","Venerable sir, the Brahmans from the Western lands who carry water pitchers, who wear moss garlands, who tend the sacred fire, who bathe ritually, they declare purification rites. I approve of their purification rites."
65056,sevālamālika,sevālamālikā,AN10.176,,"brāhmaṇā, bhante, pacchābhūmakā kamaṇḍalukā <b>sevālamālikā</b> aggiparicārikā udakorohakā soceyyāni paññapenti, tesāhaṃ soceyyāni rocemī'ti","Venerable sir, the Brahmans from the Western lands who carry water pitchers, who wear moss garlands, who tend the sacred fire, who bathe ritually, they declare purification rites. I approve of their purification rites."
52468,mālika,,AN10.176,,"brāhmaṇā, bhante, pacchābhūmakā kamaṇḍalukā sevāla<b>mālikā</b> aggiparicārikā udakorohakā soceyyāni paññapenti, tesāhaṃ soceyyāni rocemī'ti","Venerable sir, the Brahmans from the Western lands who carry water pitchers, who wear moss garlands, who tend the sacred fire, who bathe ritually, they declare purification rites. I approve of their purification rites."
670,aggiparicārika,aggiparicārikā,AN10.176,,"brāhmaṇā, bhante, pacchābhūmakā kamaṇḍalukā sevālamālikā <b>aggiparicārikā</b> udakorohakā soceyyāni paññapenti, tesāhaṃ soceyyāni rocemī'ti","Venerable sir, the Brahmans from the Western lands who carry water pitchers, who wear moss garlands, who tend the sacred fire, who bathe ritually, they declare purification rites. I approve of their purification rites."
26477,cārī 1.1,,SN42.6 ,,"taṃ kiṃ maññasi, gāmaṇi, idh'assa puriso pāṇ'ātipātī adinn'ādāyī kāmesumicchā<b>cārī </b>musāvādī pisuṇavāco pharusavāco samphappalāpī abhijjhālu byāpannacitto micchādiṭṭhiko.","What do you think, headman, here could be a person who kills living being, takes what is not given, who engages in sexual misconduct, speaks falsely, divisively, harshly, and chatters frivolously, [one] who is covetous, has a malicious mind and holds a wrong view."
43334,paricārika,,AN10.176,,"brāhmaṇā, bhante, pacchābhūmakā kamaṇḍalukā sevālamālikā aggi<b>paricārikā</b> udakorohakā soceyyāni paññapenti, tesāhaṃ soceyyāni rocemī'ti","Venerable sir, the Brahmans from the Western lands who carry water pitchers, who wear moss garlands, who tend the sacred fire, who bathe ritually, they declare purification rites. I approve of their purification rites."
14929,udakorohaka,udakorohakā,AN10.176,,"brāhmaṇā, bhante, pacchābhūmakā kamaṇḍalukā sevālamālikā aggiparicārikā <b>udakorohakā</b> soceyyāni paññapenti, tesāhaṃ soceyyāni rocemī'ti","Venerable sir, the Brahmans from the Western lands who carry water pitchers, who wear moss garlands, who tend the sacred fire, who bathe ritually, they declare purification rites. I approve of their purification rites."
18892,orohaka,udakorohakā,AN10.176,,"brāhmaṇā, bhante, pacchābhūmakā kamaṇḍalukā sevālamālikā aggiparicārikā udak<b>orohakā</b> soceyyāni paññapenti, tesāhaṃ soceyyāni rocemī'ti","Venerable sir, the Brahmans from the Western lands who carry water pitchers, who wear moss garlands, who tend the sacred fire, who bathe ritually, they declare purification rites. I approve of their purification rites."
65141,soceyya 1,soceyyāni,AN10.176,,"brāhmaṇā, bhante, pacchābhūmakā kamaṇḍalukā sevālamālikā aggiparicārikā udakorohakā <b>soceyyāni</b> paññapenti, tesāhaṃ soceyyāni rocemī'ti","Venerable sir, the Brahmans from the Western lands who carry water pitchers, who wear moss garlands, who tend the sacred fire, who bathe ritually, they declare purification rites. I approve of their purification rites."
39984,paññapeti 1,paññapenti,AN10.176,,"brāhmaṇā, bhante, pacchābhūmakā kamaṇḍalukā sevālamālikā aggiparicārikā udakorohakā soceyyāni <b>paññapenti</b>, tesāhaṃ soceyyāni rocemī'ti","Venerable sir, the Brahmans from the Western lands who carry water pitchers, who wear moss garlands, who tend the sacred fire, who bathe ritually, they declare purification rites. I approve of their purification rites."
31319,tesāhaṃ,tesāhaṃ,AN10.176,,"brāhmaṇā, bhante, pacchābhūmakā kamaṇḍalukā sevālamālikā aggiparicārikā udakorohakā soceyyāni paññapenti, <b>tesāhaṃ</b> soceyyāni rocemī'ti","Venerable sir, the Brahmans from the Western lands who carry water pitchers, who wear moss garlands, who tend the sacred fire, who bathe ritually, they declare purification rites. I approve of their purification rites."
